city,state,month,high,low,precipitation
pittsburgh,pennsylvania,1,37,21,2.89
pittsburgh,pennsylvania,2,40,22,2.26
pittsburgh,pennsylvania,3,50,30,3.03
pittsburgh,pennsylvania,4,62,39,3.00
pittsburgh,pennsylvania,5,71,51,3.28
pittsburgh,pennsylvania,6,79,61,2.99
pittsburgh,pennsylvania,7,83,66,3.35
pittsburgh,pennsylvania,8,82,63,3.00
pittsburgh,pennsylvania,9,75,55,3.02
pittsburgh,pennsylvania,10,64,44,2.17
pittsburgh,pennsylvania,11,53,34,3.13
pittsburgh,pennsylvania,12,41,25,2.71
miami,florida,1,76,60,6
miami,florida,2,78,62,5
miami,florida,3,80,65,6
miami,florida,4,83,68,7
miami,florida,5,87,73,10
miami,florida,6,89,76,13
miami,florida,7,91,77,17
miami,florida,8,91,77,16
miami,florida,9,89,76,18
miami,florida,10,86,74,15
miami,florida,11,82,68,8
miami,florida,12,78,63,7
new-york,new-york,1,39,26,11
new-york,new-york,2,42,29,10
new-york,new-york,3,50,35,12
new-york,new-york,4,60,44,11
new-york,new-york,5,71,55,11
new-york,new-york,6,79,64,10
new-york,new-york,7,85,70,11
new-york,new-york,8,83,69,10
new-york,new-york,9,76,61,8
new-york,new-york,10,65,50,8
new-york,new-york,11,54,41,9
new-york,new-york,12,44,32,10
philadelphia,pennsylvania,1,40,26,3.03
philadelphia,pennsylvania,2,44,28,2.65
philadelphia,pennsylvania,3,53,34,3.79
philadelphia,pennsylvania,4,64,44,3.56
philadelphia,pennsylvania,5,74,54,3.71
philadelphia,pennsylvania,6,83,64,3.43
philadelphia,pennsylvania,7,87,69,4.35
philadelphia,pennsylvania,8,85,68,3.50
philadelphia,pennsylvania,9,78,60,3.78
philadelphia,pennsylvania,10,67,48,3.18
philadelphia,pennsylvania,11,56,39,2.99
philadelphia,pennsylvania,12,45,30,3.56
tampa,florida,1,70,52,2.23
tampa,florida,2,73,54,2.81
tampa,florida,3,76,58,3.03
tampa,florida,4,81,63,2.03
tampa,florida,5,87,70,2.10
tampa,florida,6,90,75,6.68
tampa,florida,7,90,76,7.07
tampa,florida,8,90,76,7.77
tampa,florida,9,89,74,6.30
tampa,florida,10,84,68,2.26
tampa,florida,11,78,60,1.55
tampa,florida,12,72,54,2.47
orlando,florida,1,71,50,2.74
orlando,florida,2,73,53,2.83
orlando,florida,3,77,57,3.79
orlando,florida,4,82,62,2.49
orlando,florida,5,88,68,3.30
orlando,florida,6,91,73,8.74
orlando,florida,7,92,76,7.10
orlando,florida,8,92,76,7.82
orlando,florida,9,89,74,6.02
orlando,florida,10,84,68,3.29
orlando,florida,11,78,60,2.42
orlando,florida,12,72,54,2.63
irvine,california,1,65,47,2.73
irvine,california,2,65,48,3.63
irvine,california,3,67,49,2.44
irvine,california,4,71,51,0.86
irvine,california,5,73,56,0.23
irvine,california,6,76,59,0.11
irvine,california,7,82,62,0.03
irvine,california,8,83,63,0.05
irvine,california,9,81,61,0.25
irvine,california,10,76,57,0.65
irvine,california,11,69,51,1.13
irvine,california,12,64,47,2.27
